asv,asv_len,best_cosine,abundance,midas_genus,besthit_genus,genus_best_concordant,genus_any20_concordant,genus_evaluable,midas_family,besthit_family,family_best_concordant,family_any20_concordant,family_evaluable,midas_order,besthit_order,order_best_concordant,order_any20_concordant,order_evaluable,midas_class,besthit_class,class_best_concordant,class_any20_concordant,class_evaluable,midas_phylum,besthit_phylum,phylum_best_concordant,phylum_any20_concordant,phylum_evaluable
0fec351445f84bd482075ceda6123f46,378,1.0,52.3364486,Methanobacterium,Methanobacterium,True,True,True,Methanobacteriaceae,Methanobacteriaceae,True,True,True,Methanobacteriales,Methanobacteriales,True,True,True,Methanobacteria,Methanobacteria,True,True,True,Euryarchaeota,Methanobacteriota,True,True,True
63f37ee4b481fccdffca10160ed5b944,378,1.0,13.19878447,nan,Methanobrevibacter,False,False,False,Methanobacteriaceae,Methanobacteriaceae,True,True,True,Methanobacteriales,Methanobacteriales,True,True,True,Methanobacteria,Methanobacteria,True,True,True,Euryarchaeota,Methanobacteriota,True,True,True
7f78afb7e1d45cd528fe9cd909c93fb5,378,1.0,13.90784168,Methanobacterium,Methanobacterium,True,True,True,Methanobacteriaceae,Methanobacteriaceae,True,True,True,Methanobacteriales,Methanobacteriales,True,True,True,Methanobacteria,Methanobacteria,True,True,True,Euryarchaeota,Methanobacteriota,True,True,True
b64cf0e9dea8cef6b9500b364c179b98,372,1.0,0.603940906,nan,Burkholderia,False,False,False,nan,Burkholderiaceae,False,False,False,Burkholderiales,Burkholderiales,True,True,True,Gammaproteobacteria,Betaproteobacteria,False,False,True,Proteobacteria,Pseudomonadota,True,True,True
c55a8101fb6c187736f0af61f720cb92,370,0.999,1.859602852,Lentimicrobium,Lentimicrobium,True,True,True,Lentimicrobiaceae,Lentimicrobiaceae,True,True,True,Sphingobacteriales,Bacteroidales,False,False,True,Bacteroidia,Bacteroidia,True,True,True,Bacteroidota,Bacteroidota,True,True,True
8466f2635d9fbf9c51a04877474f3d09,372,1.0,0.0,Alcaligenes,Alcaligenes,True,True,True,Alcaligenaceae,Alcaligenaceae,True,True,True,Burkholderiales,Burkholderiales,True,True,True,Gammaproteobacteria,Betaproteobacteria,False,True,True,Proteobacteria,Pseudomonadota,True,True,True
35dbde30af820a2c3bcd85216229ad6a,378,1.0,0.005733616,Methanosarcina,Methanosarcina,True,True,True,Methanosarcinaceae,Methanosarcinaceae,True,True,True,Methanosarciniales,Methanosarcinales,False,False,True,Methanosarcinia,Methanomicrobia,False,False,True,Halobacterota,Methanobacteriota,False,False,True
83adaf3a09d08c93f2abea6a4c815592,370,1.0,0.88871051,Petrimonas,Petrimonas,True,True,True,Dysgonomonadaceae,Dysgonomonadaceae,True,True,True,Bacteroidales,Bacteroidales,True,True,True,Bacteroidia,Bacteroidia,True,True,True,Bacteroidota,Bacteroidota,True,True,True
04869be25e3dc4d526ce3824d407aedf,371,1.0,1.477361772,Aminivibrio,Aminivibrio,True,True,True,Synergistaceae,Aminobacteriaceae,False,True,True,Synergistales,Synergistales,True,True,True,Synergistia,Synergistia,True,True,True,Synergistota,Synergistota,True,True,True
25c54c57b4a4283237b33fdae82003c0,372,0.998,0.017200849,EBM-39,,False,False,True,Synergistaceae,,False,True,True,Synergistales,,False,True,True,Synergistia,,False,True,True,Synergistota,Candidatus Cloacimonadota,False,True,True
