asv,tier,gpu_n,edlib_n,gpu_reps,edlib_reps,gpu_anchor,gpu_anchor_species,edlib_anchor,edlib_anchor_species,gpu_anchor_edlib_rank,gpu_reps_in_edlib_top20,gpu_reps_total,gpu_rep_edlib_ranks,genome_set_identical,species_set_identical,anchor_genome_match,anchor_species_match,jaccard_genome
003284e7643a47fcdab27891cced2a66,genus,3,3,3141376.3|2587854.3|281252.8,3141376.3|2587854.3|281252.8,3141376.3,Roseibium sp. SCP15,3141376.3,Roseibium sp. SCP15,1,3,3,1|3|13,True,True,True,True,1.0
00513cae3b2877bc7a7730f40312f97f,family,2,2,2053538.22|86473.1705,2053538.22|86473.1705,2053538.22,Candidatus Competibacteraceae bacterium,2053538.22,Candidatus Competibacteraceae bacterium,1,2,2,1|2,True,True,True,True,1.0
005cf4f1d005d86d57ffdd01808ea21e,species,1,1,3042318.3,3042318.3,3042318.3,Phnomibacter sp. MR,3042318.3,Phnomibacter sp. MR,1,1,1,1,True,True,True,True,1.0
006a3bfa4e7ea6a4788e31b776b7e6c1,genus,1,1,2502221.3,2502221.3,2502221.3,Sphingomonadaceae bacterium 3R27E2-A,2502221.3,Sphingomonadaceae bacterium 3R27E2-A,1,1,1,1,True,True,True,True,1.0
00857485ad05de1627ccc3881aaabdb0,family,2,2,2026735.712|1869227.7635,2026735.712|1869227.7635,2026735.712,Deltaproteobacteria bacterium,2026735.712,Deltaproteobacteria bacterium,1,2,2,1|2,True,True,True,True,1.0
009564af4e60c5118899caed7c0dd586,species,2,2,1917865.128|2035813.41,1917865.128|2035813.41,1917865.128,Sediminibacterium sp.,1917865.128,Sediminibacterium sp.,1,2,2,1|5,True,True,True,True,1.0
00a674ff1b3eedd6d12d958bed100a74,genus,2,2,2026715.45|3034175.77,2026715.45|3034175.77,2026715.45,Pseudobdellovibrionaceae bacterium,2026715.45,Pseudobdellovibrionaceae bacterium,1,2,2,1|2,True,True,True,True,1.0
00c3ca16f3d6ddeff7533f98676fa214,species,1,1,2053589.824,2053589.824,2053589.824,Minisyncoccota bacterium,2053589.824,Minisyncoccota bacterium,1,1,1,1,True,True,True,True,1.0
00db0c0419e71a3222dc483990c535b9,species,0,0,,,,,,,,0,0,,,,,,
00dd8e42dc15418793a226b9e5a15faf,below,0,0,,,,,,,,0,0,,,,,,
00f36962721c382fa009aab208745ba0,species,1,1,2497627.21,2497627.21,2497627.21,Microthrixaceae bacterium,2497627.21,Microthrixaceae bacterium,1,1,1,1,True,True,True,True,1.0
00f9ebbd116e56c9858776b48b74565e,species,1,1,3042025.3,3042025.3,3042025.3,Luteimonas kalidii,3042025.3,Luteimonas kalidii,2,1,1,2,True,True,True,True,1.0
00fb9aad4ff840201dfcb1ca02405c04,species,0,0,,,,,,,,0,0,,,,,,
010986139ed60489250b7a421e4d63d9,genus,1,1,1879010.10662,1879010.10662,1879010.10662,Bacillota bacterium,1879010.10662,Bacillota bacterium,1,1,1,1,True,True,True,True,1.0
010c4e8cfb1c11912d23e854660dd57b,family,2,2,2818473.28|65656.5,2818473.28|65656.5,2818473.28,Giesbergeria sp.,2818473.28,Giesbergeria sp.,1,2,2,1|3,True,True,True,True,1.0
011befe1668bc005622daeaefd053a7b,family,2,2,86473.2608|2053613.83,86473.2608|2053613.83,86473.2608,uncultured Gammaproteobacteria bacterium,86473.2608,uncultured Gammaproteobacteria bacterium,1,2,2,1|2,True,True,True,True,1.0
012538fa4337eb1e9e3874a2e0792491,species,2,2,43057.14|2528036.3,43057.14|2528036.3,43057.14,Cereibacter azotoformans,43057.14,Cereibacter azotoformans,2,2,2,2|3,True,True,True,True,1.0
0138936a169c4a0914606cedbcd38fa6,genus,2,2,3039803.760|2518612.350,3039803.760|2518612.350,3039803.760,uncultured Actinomycetota bacterium,3039803.760,uncultured Actinomycetota bacterium,1,2,2,1|2,True,True,True,True,1.0
01678bd1450874fd4ee087d0d2ee5349,genus,1,1,1121448.10,1121448.10,1121448.10,Megalodesulfovibrio gigas,1121448.10,Megalodesulfovibrio gigas,1,1,1,1,True,True,True,True,1.0
