asv,tier,gpu_n,edlib_n,gpu_reps,edlib_reps,gpu_anchor,gpu_anchor_species,edlib_anchor,edlib_anchor_species,gpu_anchor_edlib_rank,gpu_reps_in_edlib_top20,gpu_reps_total,gpu_rep_edlib_ranks,genome_set_identical,species_set_identical,anchor_genome_match,anchor_species_match,jaccard_genome
0fec351445f84bd482075ceda6123f46,species,1,1,3412034.3,3412034.3,3412034.3,Methanobacterium sp. MBAC-LM,3412034.3,Methanobacterium sp. MBAC-LM,1,1,1,1,True,True,True,True,1.0
63f37ee4b481fccdffca10160ed5b944,species,1,1,39441.6,39441.6,39441.6,Methanobrevibacter arboriphilus,39441.6,Methanobrevibacter arboriphilus,1,1,1,1,True,True,True,True,1.0
7f78afb7e1d45cd528fe9cd909c93fb5,species,1,1,2841655.3,2841655.3,2841655.3,Methanobacterium sp. YSL,2841655.3,Methanobacterium sp. YSL,1,1,1,1,True,True,True,True,1.0
b64cf0e9dea8cef6b9500b364c179b98,species,2,2,28450.4538|60550.81,28450.4538|60550.81,28450.4538,Burkholderia pseudomallei,28450.4538,Burkholderia pseudomallei,1,2,2,1|2,True,True,True,True,1.0
c55a8101fb6c187736f0af61f720cb92,species,1,1,1678841.5,1678841.5,1678841.5,Lentimicrobium saccharophilum,1678841.5,Lentimicrobium saccharophilum,1,1,1,1,True,True,True,True,1.0
8466f2635d9fbf9c51a04877474f3d09,species,2,2,1367435.3|2991054.4,1367435.3|2991054.4,1367435.3,Alcaligenes sp. DN25,1367435.3,Alcaligenes sp. DN25,1,2,2,1|11,True,True,True,True,1.0
35dbde30af820a2c3bcd85216229ad6a,species,2,2,1298606.3|213585.10,1298606.3|213585.10,1298606.3,Methanosarcina barkeri,1298606.3,Methanosarcina barkeri,1,2,2,1|2,True,True,True,True,1.0
83adaf3a09d08c93f2abea6a4c815592,species,1,1,1978337.3,1978337.3,1978337.3,Petrimonas sp. IBARAKI,1978337.3,Petrimonas sp. IBARAKI,1,1,1,1,True,True,True,True,1.0
04869be25e3dc4d526ce3824d407aedf,species,1,1,1005740.3,1005740.3,1005740.3,Aminivibrio pyruvatiphilus,1005740.3,Aminivibrio pyruvatiphilus,1,1,1,1,True,True,True,True,1.0
25c54c57b4a4283237b33fdae82003c0,genus,5,5,1869227.4076|2053615.69|2030808.223|1918497.3|2268201.13,1869227.4076|2053615.69|2030808.223|1918497.3|2268201.13,1869227.4076,bacterium,1869227.4076,bacterium,3,5,5,3|4|5|6|8,True,True,True,True,1.0
a039c1ac15b3f4bc5cf1db8a5f1cc0fd,species,1,1,1460447.11,1460447.11,1460447.11,Terrisporobacter petrolearius,1460447.11,Terrisporobacter petrolearius,1,1,1,1,True,True,True,True,1.0
38b371de3be6ddef03bea94294e9830d,species,1,1,493461.3,493461.3,493461.3,Methanobacterium movens,493461.3,Methanobacterium movens,1,1,1,1,True,True,True,True,1.0
37a9f9625f201b6e61c29ac09ec54683,genus,1,1,1122184.3,1122184.3,1122184.3,Lutispora thermophila,1122184.3,Lutispora thermophila,1,1,1,1,True,True,True,True,1.0
d3cf08daefed96f494257ceff63a6cf8,species,2,2,1236046.7|2268202.19,1236046.7|2268202.19,1236046.7,Mesotoga infera,1236046.7,Mesotoga infera,2,2,2,2|7,True,True,True,True,1.0
a5b2537343a26f4daf0379a8b46eb2ef,species,2,2,1869227.3111|1674906.4,1869227.3111|1674906.4,1869227.3111,bacterium,1869227.3111,bacterium,1,2,2,1|2,True,True,True,True,1.0
b3d8bf326297fb9b18ea4fef1ce8d4a6,species,1,1,2872636.3,2872636.3,2872636.3,Nitratidesulfovibrio sp. SRB-5,2872636.3,Nitratidesulfovibrio sp. SRB-5,1,1,1,1,True,True,True,True,1.0
c571cb007a7d9e2dfc56e8c0b4e24104,species,2,2,57706.365|546.1947,57706.365|546.1947,57706.365,Citrobacter braakii,57706.365,Citrobacter braakii,1,2,2,1|2,True,True,True,True,1.0
e6485d233ed2b8b9a2f3f50f0747b9d2,species,1,1,1855399.3,1855399.3,1855399.3,Porphyromonadaceae bacterium NLAE-zl-C104,1855399.3,Porphyromonadaceae bacterium NLAE-zl-C104,1,1,1,1,True,True,True,True,1.0
4c31c3e198534eab45b6d92b61f75b10,species,2,2,1629550.38|1490.87,1629550.38|1490.87,1629550.38,Paraclostridium benzoelyticum,1629550.38,Paraclostridium benzoelyticum,1,2,2,1|2,True,True,True,True,1.0
e75fd72fb216d3d4c964602d8c338f65,species,2,2,332949.8|417368.65,332949.8|417368.65,332949.8,Enterococcus silesiacus,332949.8,Enterococcus silesiacus,1,2,2,1|2,True,True,True,True,1.0
09ee5eb3e6c726c7c8242f6e97453fc2,species,1,1,2162.9,2162.9,2162.9,Methanobacterium formicicum,2162.9,Methanobacterium formicicum,1,1,1,1,True,True,True,True,1.0
