asv,old_top5_best_pid,old_top5_mean_pid,emb_top5_best_pid,emb_top5_mean_pid
0fec351445f84bd482075ceda6123f46,98.14814814814815,94.40200471862741,100.0,97.93650793650794
63f37ee4b481fccdffca10160ed5b944,100.0,99.73544973544973,100.0,98.57142857142858
7f78afb7e1d45cd528fe9cd909c93fb5,100.0,93.08960936620511,100.0,99.36507936507937
b64cf0e9dea8cef6b9500b364c179b98,100.0,99.94623655913979,100.0,99.78494623655915
c55a8101fb6c187736f0af61f720cb92,98.91891891891892,98.37837837837839,98.91891891891892,98.0
8466f2635d9fbf9c51a04877474f3d09,100.0,99.6774193548387,100.0,99.56989247311829
83adaf3a09d08c93f2abea6a4c815592,100.0,98.51351351351352,100.0,98.32432432432432
35dbde30af820a2c3bcd85216229ad6a,100.0,99.89417989417989,100.0,99.73544973544972
04869be25e3dc4d526ce3824d407aedf,100.0,99.5956873315364,100.0,99.02964959568733
25c54c57b4a4283237b33fdae82003c0,98.38709677419355,96.24719682594446,98.38709677419355,94.29049647856708
a039c1ac15b3f4bc5cf1db8a5f1cc0fd,100.0,99.83827493261455,100.0,99.62264150943398
38b371de3be6ddef03bea94294e9830d,100.0,98.94179894179895,100.0,98.62433862433863
37a9f9625f201b6e61c29ac09ec54683,97.86096256684492,97.86096256684492,94.11764705882354,91.60969696969698
c571cb007a7d9e2dfc56e8c0b4e24104,100.0,100.0,100.0,99.73190348525469
d3cf08daefed96f494257ceff63a6cf8,100.0,94.14166333922765,100.0,99.03485254691688
b3d8bf326297fb9b18ea4fef1ce8d4a6,100.0,99.86522911051213,100.0,99.46091644204853
a5b2537343a26f4daf0379a8b46eb2ef,100.0,99.73045822102426,100.0,99.35309973045824
e6485d233ed2b8b9a2f3f50f0747b9d2,100.0,98.64864864864865,100.0,98.1081081081081
09ee5eb3e6c726c7c8242f6e97453fc2,100.0,98.4126984126984,100.0,98.46560846560847
4c31c3e198534eab45b6d92b61f75b10,100.0,99.73045822102426,100.0,99.4080224907979
be9dcf562f0ab066c0b252d527a42d19,100.0,99.82030548068285,100.0,99.19224415268238
e75fd72fb216d3d4c964602d8c338f65,100.0,99.7860962566845,100.0,99.62566844919786
